date,text,label,source,side_a,side_b,type_of_violence,best
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,5
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2010-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2010-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,25
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,4
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,8
2003-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,6
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,0
1996-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,8
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,4
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,15
2005-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,18
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,10
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,9
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
